Accession Number,Collector Number,Genus,Species,Habitat,Determined By,UUID
A88707,PTM181,Bossiella,frondifera,2 m below Postelsia sp.,Paul W. Gabrielson,028B3159-7EE2-7C46-985D-67AEADE007D9
A88708,PTM182,Corallina,sp.,Very exposed,Patrick T. Martone and Katy R. Hind,16DC67EA-9AE0-B543-A880-67BC606CACF7
A88709,PTM183,Chiharaea,silvae,"Tidepool, very exposed",Paul W. Gabrielson,A27CED90-EB89-3045-90B8-8DC767996809
A88573,PTM2,Bossiella,plumosa,"""Coralline bench""",Patrick T. Martone,C7C506A1-A246-5848-84F8-6CCE00A969E1
A88574,PTM5,Corallina,vancouveriensis,Epilithic ,Patrick T. Martone,E19D353A-E98D-7D43-AD6C-E585889CA3DC
A88634,PTM107,Chiharaea,americana,Under Phyllospadix sp.,Katy R. Hind and Gary W. Saunders,1C08D88D-CB22-2A48-B5C0-90D93C135AC9
A88665,PTM139,Corallina,sp.,Exposed bench and in tidepool,Patrick T. Martone and Katy R. Hind,1B688843-AC3A-1F44-B6D7-78AB11463860
A88701,PTM175,Mesophyllum,vancouveriense,Engulfing C. vancouveriensis in tidepool with Phyllospadix sp.,Patrick T. Martone,C7DE0D41-9575-304F-84AE-E3E0CFE627B1
A88583,PTM18,Melobesia,mediocris,"On Phyllospadix sp., down from HMS water towers",Patrick T. Martone,7F4FF4B1-8759-1F47-B6D1-1DA670601CFC
A88713,PTM188,Crusticorallina,muricata,Below Postelsia sp.,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",35150318-FA5C-FB49-BB4C-4A734B339F0B
A88714,PTM189,Crusticorallina,muricata,Below Postelsia sp.,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",F778BFD6-7248-5747-998A-4659184EE36A
A88584,PTM19,Clathromorphum,parcum,On Calliarthron,Patrick T. Martone,B80ECC95-635C-E24D-A5C0-E384FB327F17
A88715,PTM190,Crusticorallina,muricata,Below Postelsia sp.,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",52966E4E-B3E4-6D47-99B9-477B095FAC61
A88716,PTM191,Leptophytum,sp.,Below Postelsia,Patrick T. Martone,99E8C111-57E9-C74B-923E-55210985330A
A88717,PTM192,Crusticorallina,muricata,Below Postelsia sp.,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",129732E0-4100-EC4E-961E-24D35D34C71E
A88718,PTM193,Pseudolithophyllum,muricatum,Below Postelsia,Patrick T. Martone,9B131962-07A2-FD44-A0BC-9589874B9EC0
A88720,PTM195,Crusticorallina,muricata,Below Postelsia,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",7E00666B-EAC1-F24F-AF87-0E076104129E
A88590,PTM27,Corallina,pinnatifolia,Growing in tidepool,Patrick T. Martone,13CC48B7-17F9-2E49-A4CE-2797C6C158A0
A89446,PTM197,Bossiella,sp.,Under Alarias sp. and M. splendens,Patrick T. Martone and Katy R. Hind,5D191648-310F-1F43-98D5-E0094DA0E525
A89447,PTM196,Bossiella,schmittii, ,Patrick T. Martone and Katy R. Hind,B02D943C-9942-ED4E-B80C-D5B07CE62496
A88712,PTM187,Coralline,NA,Under Hedophyllum sp.,Patrick T. Martone,13C43254-AAC7-464D-AD49-ED2739510167
A88719,PTM194,Pseudolithophyllum,sp.,Below Postelsia sp.,Paul W. Gabrielson,20F6647C-5FAB-7745-8416-BE741FD1688E
A89448,PTM313,Corallina,vancouveriensis, ,Patrick T. Martone,EF8E4F47-B690-B243-B739-FDD4FBEF033B
A89449,PTM327,Corallina,officinalis,Exposed Point,Katy R. Hind,80542FD3-BE4C-6544-B6B8-B51355E3AA6F
A90240,PTM435,Pterosiphonia,dendroidea,Subtidal ,Sandra C. Lindstrom,36824B8C-2072-6C4F-8A9D-F55D2AF6357B
A90241,PTM437,Callophyllis,heanophylla,Subtidal ,Sandra C. Lindstrom,6C025B6C-5BC2-3445-83D2-AF1589180977
A90242,PTM433,Schizymenia,pacifica,Subtidal ,Sandra C. Lindstrom,D3E003DD-B1E6-1B43-B266-F377CBCA913D
A90243,PTM447,Desmarestia,ligulata,Subtidal large boulder,Sandra C. Lindstrom,1139BB05-9474-104F-A041-E65319D7A94F
A90244,PTM446,Desmarestia,latissima,Subtidal large boulder,Sandra C. Lindstrom,CD7DAE39-9F8E-BA4F-A5EA-9CC56273E469
A90245,PTM448,Desmarestia,latissima,Subtidal boulder,Sandra C. Lindstrom,65DC1492-0319-054C-87EB-D2FF2D0BBBED
A90250,PTM456,Cryptopleura,ruprechtiana,Subtidal boulder,Sandra C. Lindstrom,DC2A2174-0889-6B47-B4E8-574D731F1BFE
A90251,PTM457,Osmundea,spectabilis,Subtidal boulder,Sandra C. Lindstrom,FE22014C-F7D4-3340-AA2B-598D60587706
A90252,PTM458,Plocamium,pacificum,Subtidal boulder,Sandra C. Lindstrom,0D9CAC27-3B58-4244-9BC2-E00C72DAEBDE
A90261,PTM492,Antithamnion,defectum,"Low intertidal, quadrat 7",Sandra C. Lindstrom,79BAAA6A-1806-4A44-ADF4-89990BB61911
A90262,PTM493,Pterosiphonia,bipinnata,"High intertidal, quadrat 3",Sandra C. Lindstrom,F0BE7062-9E89-9742-AD74-3F43C6289415
A90267,PTM466,Plocamium,pacificum,Subtidal boulder,Sandra C. Lindstrom,C139F97F-52C6-D344-8ABC-E02B52A6FBBD
A90268,PTM464,Schizymenia,pacifica,Subtidal boulder,Sandra C. Lindstrom,ACC0CD89-ABEC-5A45-9CBD-213E1E085590
A90269,PTM463,Pylaiella,littoralis,Subtidal boulder,Sandra C. Lindstrom,C066128D-6957-524F-AB95-4264D7F083CF
A90270,PTM465,Herposiphonia,plumula,Subtidal boulder,Sandra C. Lindstrom,A0CC2D3B-8813-2A45-B6AC-F68C77757B11
A90273,PTM461,Opuntiella,californica,Subtidal boulder,Sandra C. Lindstrom,822EFF70-80AF-D242-9F3B-5920A7784546
A90274,PTM462,Smithora,naiadum,"Subtidal, on Phyllospadix",Sandra C. Lindstrom,9F32A7B5-8F28-0C40-AB19-5736C9A5AD98
A90275,PTM460,Polysiphonia,senticulosa,Subtidal boulder,Sandra C. Lindstrom,E0E138BA-EA56-4143-8075-A380E09E9199
A90313,PTM467,Melobesia,NA,On Phyllospadix,Sandra C. Lindstrom,1F1B2B6B-DDDF-CC4D-BCDF-EDC0AE9B9957
A90360,PTM405,Wildemania,occidentalis,Boulder field,Sandra C. Lindstrom,6C1CAF78-323E-074C-8A76-65C95DC05AEE
A90361,PTM414,Ulvaria,obscura,Boulder field,Sandra C. Lindstrom,0B261E77-CFD0-D046-AC74-5E2BC2C98B0B
A90366,PTM410,Polysiphonia,senticulosa,Boulder field,Sandra C. Lindstrom,53B4881A-6FE8-B343-899D-82D51BDCDE26
A90367,PTM406,Opuntiella,californica,Boulder field,Sandra C. Lindstrom,F2657A61-E818-A34F-9F9F-F13B785BEAC4
A90368,PTM408,Schizymenia,pacifica,Boulder field,Sandra C. Lindstrom,FCE50D51-AA38-6E43-ACDD-9976FBE6F12B
A90369,PTM409,Gloiocladia,laciniata,Boulder field,Sandra C. Lindstrom,32B23D0D-6D96-5244-93EF-F7A71BEF6894
A90370,PTM418,Pugetia,firma,Boulder field,Sandra C. Lindstrom,47737878-9E06-9546-9832-DD415FBD507E
A90371,PTM422,Bonnemaisonia,californica,Boulder field,Sandra C. Lindstrom,8AAA41A8-3380-5047-8C06-CCC398E98A83
A90372,PTM424,Rhodoptilum,plumosum,Boulder field,Patrick T. Martone,4CC83DA9-1847-D347-BF80-48804DD8643A
A90373,PTM426,Fryeella,gardneri,Boulder field,Sandra C. Lindstrom,77462B14-1049-5640-AEE6-1660B8BA5DA2
A90374,PTM428,Fryeella,gardneri,Boulder field,Sandra C. Lindstrom,A37C3517-FDA3-394D-A9DE-9343352CD4BE
A90375,PTM429,Scinaia,confusa,"Boulder field, on shell",Sandra C. Lindstrom,6CCB7806-42C9-A540-99AE-943F964360EF
A90376,PTM430,Scinaia,confusa,"Boulder field, on rock",Sandra C. Lindstrom,B9AD54EE-9F90-FD48-8468-ACC8EBA400E6
A90377,PTM452,Bonnemaisonia,californica,Boulders ,Sandra C. Lindstrom,49737FCB-FF25-8841-ADC7-1F0DF805A61A
A90378,PTM451,Pterosiphonia,dendroidea,Boulders ,Sandra C. Lindstrom,31406491-3D8A-5C4B-861E-0952C19B13F9
A90379,PTM454,Herposiphonia,plumula,On Laminaria setchellii stipe,Sandra C. Lindstrom,0A1CEC12-0A3A-E349-A056-B5FF0FE5B06A
A90380,PTM438,Polysiphonia,senticulosa,Boulder field,Sandra C. Lindstrom,616ED794-4E61-CA47-89D4-784746C6F324
A90381,PTM441,Desmarestia,viridis,Eelgrass monitoring site,Sandra C. Lindstrom,71664401-01C2-5846-AF45-77675F9776F7
A90383,PTM459,Dictyota,binghamiae,Boulders ,Sandra C. Lindstrom,5C4B41DE-19F7-F543-B2A0-F6F9930A1D9D
A90526,PTM422,Bonnemaisonia,californica,Boulder field,Sandra C. Lindstrom,3800463B-53ED-624D-B59E-9FE7274448AD
A89558,PTM207b,Bossiella,frondescens,"Upper mid intertidal, bottom of large boulder",Patrick T. Martone,9E8F2044-6879-CD4E-BC56-499CD60810DA
A89559,PTM207a,Bossiella,sp.,"Upper mid intertidal, bottom of large boulder",Katy R. Hind,1A567B0A-92F8-0E4A-AF8E-9105894FD3BB
A89560,PTM208,Bossiella,dichotoma,"Upper mid intertidal tidepool, base of cliff surrounded by sand",Patrick T. Martone,BBBB0789-208D-7E4C-BC99-02F411441D3A
A89561,PTM209,Corallina,sp.,"Upper mid intertidal tidepool, base of cliff surrounded by sand",Patrick T. Martone,69D0E0FA-FE68-C54A-9F19-6EE57AFFEC16
A89562,PTM210,Bossiella,frondifera,"Upper mid intertidal tidepool, base of cliff surrounded by sand",Patrick T. Martone,3128F26F-268D-D941-81B3-43AC3DA6F722
A89563,PTM211,Bossiella,californica,"Upper mid intertidal tidepool, base of cliff surrounded by sand",Patrick T. Martone,615F51FB-3322-824A-ADF2-10AEDB4E06C9
A89564,PTM212,Corallina,vancouveriensis,"Upper mid intertidal, just outside tidepool, base of cliff surrounded by sand",Patrick T. Martone,1A9874FA-67B5-644B-9551-5B35DAA19560
A89565,PTM213,Corallina,officinalis,Cast ashore,Patrick T. Martone,9D25152A-773E-3A47-B479-0CCD7F2FC2BE
A89566,PTM214,Lithothamnion,phymatodeum,"Mid intertidal, near Pseudolithophyllum neofarlowii",Patrick T. Martone,B10EA093-161B-1648-8EEA-6646C73AB8E1
A89583,PTM232,Melobesia,mediocris,Low ,Patrick T. Martone,057DE528-4F70-9843-8006-2BFAECB1F8C2
A89654,PTM198,Coralline,NA,Near margin of high tidepool with urchins,Patrick T. Martone,827F8D34-ED5B-6049-98CE-C286D5803344
A89655,PTM199,Coralline,NA,Low intertidal,Patrick T. Martone,355906A7-F864-BF4D-9E80-588353A1AC10
A89656,PTM346,Coralline,NA,Low intertidal,Patrick T. Martone,B30A7FEA-B8CC-D440-8D22-9585CC3DFEA0
A89660,PTM309,Corallina,arbuscula,Mid intertidal,Katy R. Hind,1B46EE70-AC08-1944-9A0A-933C7552F0E5
A89661,PTM310,Corallina,arbuscula,Mid intertidal,Katy R. Hind,4E8D6EAD-0E08-8D4D-9803-45424C28E2A2
A89662,PTM311,Corallina,sp.,Mid intertidal,Katy R. Hind,489D0868-003B-CD43-A43E-1F284ECC6B75
A89663,PTM350,Coralline,NA,"Mid intertidal tidepool, with Ulva sp. and Corallina sp.",Patrick T. Martone,BD637314-21A7-8F44-8274-DA52CA67ABB2
A89664,PTM351,Coralline,NA,Low intertidal tidepool,Patrick T. Martone,43942F7B-8075-1C40-871C-9848E748BE0E
A89665,PTM314,Corallina,officinalis,Low intertidal,Patrick T. Martone,1A61A6BD-083C-654D-A37C-1FA53EE650E8
A89666,PTM352,Jania,sp.,Low intertidal tidepool,Patrick T. Martone,1EB835B6-5201-8C46-B3A6-55592F972228
A89667,PTM353,Corallina,elongata,Low intertidal,Patrick T. Martone,BD924780-310B-9D45-972E-435A731DA048
A89668,PTM354,Amphiroa,sp.,Mid intertidal,Patrick T. Martone,14E47A43-9EFA-464B-AF59-2F3D546ED7F5
A89669,PTM318,Bossiella,frondescens,Mid intertidal,Patrick T. Martone,6D261BAE-C75C-7A49-810F-0FD0E7676F22
A89670,PTM368,Bossiella,sp.,"Subtidal, boulders",Patrick T. Martone and Katy R. Hind,5560772F-1BCA-EB47-8300-C492F831656B
A89671,PTM369,Bossiella,sp.,"Subtidal, boulders",Patrick T. Martone and Katy R. Hind,8BB2513A-3015-EA42-ACAD-223C34DC2488
A89672,PTM370,Bossiella,sp.,Mid intertidal tidepool,Patrick T. Martone and Katy R. Hind,54EBB4C0-61BF-5E49-BCEE-CCBE40EF4E54
A89673,PTM371,Chiharaea,silvae,"Near Phyllospadix sp., mid intertidal",Patrick T. Martone,A25C9ED2-F84A-1F4A-A52A-82A1618B457E
A89674,PTM372,Bossiella,sp.,"Near Phyllospadix sp., mid intertidal",Patrick T. Martone and Katy R. Hind,693183B2-878F-9246-805B-F08C24F0E5C8
A89675,PTM324,Bossiella,frondescens,Low tidepool,Patrick T. Martone,2CE84797-445D-4F45-A168-7559E71AE4F0
A89676,PTM373,Bossiella,frondifera,"Near Phyllospadix sp., near sand, mid intertidal",Patrick T. Martone and Katy R. Hind,C95F58CE-C100-AE40-B9BE-E5CD209CDA08
A89677,PTM374,Bossiella,frondifera,"Subtidal, boulders",Patrick T. Martone and Katy R. Hind,6431BD94-A9FE-8144-8610-E3544C8DF026
A89678,PTM375,Bossiella,frondescens,Mid intertidal,Patrick T. Martone,EA6A4CC0-5C17-EB47-A53C-8E72C9F65702
A89679,PTM376,Bossiella,frondescens,Mid intertidal,Patrick T. Martone,B20951D4-D84D-5A4D-8790-B4436079FD68
A89680,PTM377,Bossiella,frondescens,Mid intertidal,Patrick T. Martone,F7783D6B-1EE1-BC4A-A58B-217519AFE19B
A89681,PTM378,Bossiella,sp.,"Subtidal, boulders",Patrick T. Martone and Katy R. Hind,95025348-A8F4-CA4F-A724-1C2DE06747EF
A89682,PTM379,Bossiella,sp.,"Subtidal, boulders",Patrick T. Martone and Katy R. Hind,A62EC45C-F0FA-7148-AAF1-323D534A753B
A89683,PTM380,Bossiella,sp.,"Under Phyllospadix sp., mid intertidal",Patrick T. Martone and Katy R. Hind,DBD27A49-F42D-9A4D-97A8-8FF2C06B97F9
A89684,PTM381,Bossiella,sp.,"Under Phyllospadix sp., mid intertidal",Patrick T. Martone and Katy R. Hind,F5F2090D-CD45-BB43-B2B6-2842B6FDB2B5
A89685,PTM334,Bossiella,sp.,"Low intertidal, exposed point",Katy R. Hind,9E492D00-CCCF-6C42-A405-4534F8E7597D
A89686,PTM382,Chiharaea,rhododactyla,"Under Phyllospadix sp., mid intertidal",Patrick T. Martone,E0604023-3DB6-7247-9181-D46DEC6445DC
A89687,PTM383,Bossiella,sp.,"Near Phyllospadix sp., mid intertidal",Patrick T. Martone and Katy R. Hind,3570D9C5-AAE8-184B-880C-9413DE0B2F93
A89688,PTM384,Bossiella,sp.,"Low intertidal, near Phyllospadix sp.",Patrick T. Martone and Katy R. Hind,AACB878A-5E96-5F4C-AE73-610C76C12EF5
A89689,PTM385,Bossiella,frondescens,Mid intertidal,Patrick T. Martone,8D93E8B4-F3E8-4442-93C7-01B356ADDF3A
A89690,PTM386,Crusticorallina,muricata,"Tidepool, epilithic","Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",30567E72-A265-854B-9E7A-98BC8996590D
A89691,PTM387,Bossiella,sp., ,Patrick T. Martone,37702D51-C596-AE4C-A9FF-E0E55EE44C1B
A89692,PTM388,Bossiella,montereyensis, ,Patrick T. Martone and Katy Hind,0C10A8F6-2630-614A-B0BE-96D973914C8D
A89693,PTM618,Pseudolithophyllum,sp.,Low intertidal,Patrick T. Martone and Katy R. Hind,FCB9CC1D-B4D7-044A-A5CF-59EBD8A66CED
A89694,PTM619,Pseudolithophyllum,whidbeyense,Low intertidal,Katy R. Hind,AA10D59D-47CE-6248-9E53-C7A61A478DD4
A89695,PTM620,Johansenia,macmillanii,"Low intertidal, pool",Katy R. Hind,F7459457-95AD-CD4C-9FF3-86CE8688CB52
A89696,PTM621,Johansenia,macmillanii,"Low intertidal, pool",Katy R. Hind,B76252DA-22FB-CA48-88BD-71D586D2067A
A89697,PTM355,Bossiella,reptans,"Low, under Phyllospadix sp.",Patrick T. Martone and Katy R. Hind,C3214568-C485-0845-8E3F-734F05028D60
A89698,PTM356,Chiharaea,silvae,"Low, under Alaria sp.",Patrick T. Martone,BE67B7A4-4D4C-144C-9221-DC711C2156DF
A89699,PTM357,Chiharaea,silvae,Low ,Patrick T. Martone,CA3FA8DE-C0CA-AB4B-A7D7-0113F10A6027
A89700,PTM358,Chiharaea,silvae,"Low, under Alaria sp.",Patrick T. Martone,5020D20B-3348-2A44-AFD1-F5E7F1CCC14B
A89701,PTM359,Bossiella,schmittii,"Low, under Phyllospadix sp.",Patrick T. Martone,C23DA7EE-9339-1D4A-ADED-333EF9C32303
A89702,PTM360,Bossiella,plumosa,Low ,Patrick T. Martone,E6FDE9F8-18CD-CD41-A79C-5F6FAE37D6F1
A89703,PTM361,Chiharaea,americana,"Low, exposed point, under Alaria sp.",Patrick T. Martone,B7D2FAE9-AA47-D142-8591-C330B76C10CF
A89704,PTM362,Corallina,sp.,Low ,Katy R. Hind,32EF60B4-E2B8-B842-8B12-9523DD59B716
A89705,PTM363,Corallina,officinalis,Low ,Patrick T. Martone and Katy R. Hind,8521E4B7-C404-9E45-AF26-AF69A8079FDF
A89706,PTM364,Calliarthron,tuberculosum,Low tidepool,Patrick T. Martone,60811872-D635-AE4B-A26D-FC57523F6224
A89707,PTM365,Calliarthron,tuberculosum,Low tidepool,Patrick T. Martone,A7422472-91B8-674A-85B5-9DBE051F62BE
A89708,PTM366,Bossiella,californica,Low ,Patrick T. Martone,10766D65-0D82-FC4B-8581-81D4248703ED
A89709,PTM367,Bossiella,californica,Low ,Patrick T. Martone,ED3CE56F-6C53-024F-8896-E8BAA436BBED
A89724,PTM403,Bossiella,californica,High tidepool,Katy R. Hind,4A40043F-D96B-D24A-8926-C7FFEA9BBB39
A89725,PTM404,Bossiella,frondescens,"Mid, on rock",Katy R. Hind,5130DCE9-CFD9-AB47-A3FA-FE06D9649A2B
A89732,PTM411,Bossiella,hakaiensis,"Subtidal, large boulders",Patrick T. Martone and Katy R. Hind,95855359-0EC9-4245-951E-E0A4ED6EBF68
A89733,PTM412,Mesophyllum,sp.,"Subtidal, large boulders",Patrick T. Martone and Katy R. Hind,A5634172-B86F-A245-B354-5D05A8EA239D
A89734,PTM413,Bossiella,reptans,"Subtidal, large boulders",Katy R. Hind,1A253F37-EE51-974B-97A6-0B2499E0923D
A89736,PTM415,Bossiella,reptans,"Subtidal, large boulders",Katy R. Hind,08452FDE-A78D-2A40-A32C-918CFBF62E4A
A89737,PTM416,Bossiella,hakaiensis,"Subtidal, large boulders",Patrick T. Martone and Katy R. Hind,872BA0C2-E9E6-3B4E-A449-99D27A5B5526
A89738,PTM417,Bossiella,reptans,"Subtidal, large boulders",Katy R. Hind,CC42B417-5D66-B64B-837B-73A244B13C7A
A89740,PTM419,Mesophyllum,sp.,"Subtidal, large boulders",Patrick T. Martone and Katy R. Hind,AE96CB55-A49F-B84F-8E57-C25DE2DEBF4B
A89741,PTM420,Corallina,sp.,"Subtidal, large boulders",Katy R. Hind,BE89CBA3-D634-754B-BB21-3C695D11A5DD
A89744,PTM423,Bossiella,schmittii,"Subtidal, large boulders",Katy R. Hind,F66014C2-00A5-DD47-9D94-BDD5CCF100E4
A89746,PTM425,Peyssonnelia,sp.,"Subtidal, large boulders",Katy R. Hind,D33199B7-6620-8344-AEB9-B6EDC8794FE9
A89761,PTM440,Peyssonnelia,sp.,"Subtidal, on clam shell",Sam M. Starko,557590BB-0BCB-A647-B11D-3D89291F4F5F
A89763,PTM442,Lithothamnion,glaciale,"Subtidal, on clam shell",Patrick T. Martone,7C1646FF-4085-C04D-832D-FB6F9F4C34F8
A89764,PTM443,Peyssonnelia,sp.,"Subtidal, on clam shell",Katy R. Hind,B5C544B4-B3E7-2248-8F21-A6A450BB89B4
A89765,PTM444,Mesophyllum,sp.,"Subtidal, on clam shell",Katy R. Hind,4141CA10-408E-9D49-B623-2DF6419E7A45
A89766,PTM445,Mesophyllum,sp.,"Subtidal, on clam shell",Katy R. Hind,34AFEBD0-8837-F845-ACA0-90C4449D84C5
A89770,PTM449,Bossiella,frondifera,"Low, boulders",Patrick T. Martone and Katy R. Hind,1FC376FD-FC8C-544E-97F0-5810402DD2F9
A89771,PTM450,Bossiella,manzae,"Low, on rock",Patrick T. Martone and Katy R. Hind,4F281ED9-E609-494E-A894-31F878E3195C
A89774,PTM453,Clathromorphum,parcum,Subtidal ,Patrick T. Martone,8B01E7B6-3AF2-EB4E-8001-5A67C2E9EE6E
A89776,PTM455,Lithothamnion,phymatodeum,Subtidal ,Patrick T. Martone,33BB0EFB-C289-694E-A633-E59AD479066E
A89791,PTM470,Bossiella,sp.,Subtidal ,Patrick T. Martone and Katy R. Hind,2ADE4228-1878-AF44-9E17-6998E92583C1
A89794,PTM473,Bossiella,chiloensis,Subtidal ,Katy R. Hind,C05AA358-17CD-0E45-93EC-71AFCA80EE9C
A89807,PTM486,Mesophyllum,conchatum,Subtidal ,Katy R. Hind,AE720325-03A1-4E48-A2D3-C90E72430B72
A89808,PTM487,Corallina,sp.,Subtidal ,Patrick T. Martone and Katy R. Hind,8BE39D23-960C-F64C-9E2F-688C03BFFD42
A89809,PTM488,Bossiella,sp.,Subtidal ,Patrick T. Martone and Katy R. Hind,E8C989F6-3203-FA43-86E8-EE2E2432375B
A89810,PTM489,Corallina,sp.,Subtidal ,Patrick T. Martone and Katy R. Hind,FEC8AC3C-97CD-2144-8A15-CB8C28A1B262
A89815,PTM494,Lithophyllum,impressum,Subtidal ,Katy R. Hind,ABBA9FE6-25C8-924D-B8F7-986CD0681CDC
A89816,PTM495,Bossiella,reptans,Subtidal ,Patrick T. Martone and Katy R. Hind,1004AA37-C787-7640-8BB5-68EB5ECB77C2
A89835,PTM514,Bossiella,orbigniana,Low intertidal,Patrick T. Martone,9E695515-ACE6-C146-8ABA-D95F0A9A620A
A89836,PTM515,Corallina,sp.,"Very low intertidal, in sand",Patrick T. Martone and Katy R. Hind,2440AE16-C410-8643-BD38-8A2396677082
A89837,PTM516,Chiharaea,silvae,"Low intertidal, under Phyllospadix sp.",Sam M. Starko and Patrick T. Martone,5AE1CE41-20CF-2144-96AE-88AB551EA705
A89838,PTM517,Bossiella,orbigniana,"Low intertidal, under Phyllospadix sp.",Sam M. Starko and Patrick T. Martone,910D3948-2E61-7343-ADDC-511B8F4F54F9
A89839,PTM518,Chiharaea,silvae,"Low intertidal, under Saccharina sp. and Alaria sp.",Sam M. Starko and Patrick T. Martone,A1CDEFE4-84F6-7140-9A96-85248F0E0366
A89840,PTM519,Chiharaea,rhododactyla,"Low intertidal, under Saccharina sp. and Alaria sp.",Sam M. Starko and Patrick T. Martone,D502652C-26D3-F146-A442-539541166BA8
A89841,PTM520,Bossiella,hakaiensis,"Low intertidal, under Phyllospadix sp.",Patrick T. Martone and Katy R. Hind,187586E2-953A-3F46-A65D-0932771DF163
A89842,PTM521,Bossiella,plumosa,"Low, under Phyllospadix sp.",Sam M. Starko and Patrick T. Martone,57C5CDF1-A126-7346-86D2-E8659A60CD0D
A89843,PTM522,Crusticorallina,muricata,"Low, under Alaria sp. and Costaria sp.","Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",3BB64076-F048-3042-8FD9-1D4516D0D04F
A89844,PTM523,Mesophyllum,vancouveriense,Low ,Sam M. Starko and Patrick T. Martone,37C72045-5B80-2C4E-A9B4-5DEFCA3BDE6F
A89849,PTM528,Mesophyllum,sp.,Subtidal ,Katy R. Hind,730A3290-4444-FB43-BD45-0183FEBF6A5A
A89851,PTM530,Lithophyllum,sp.,Subtidal ,Katy R. Hind,34AAFD46-CC6D-0345-8636-419169A52F83
A89852,PTM531,Pseudolithophyllum,sp.,Subtidal ,Katy R. Hind,BD2F302E-4C4C-C54A-BBB3-E69CF5000B14
A89859,PTM538,Bossiella,orbigniana,Subtidal ,Katy R. Hind,8E9143CF-E51E-1E47-8DFE-026957AC88B1
A89865,PTM544,Lithothamnion,sp.,Subtidal ,Patrick T. Martone and Katy R. Hind,AD809424-1BD1-334B-AFDB-6B7BC2FBAAED
A89867,PTM546,Bossiella,sp.,Subtidal ,Patrick T. Martone and Katy R. Hind,41A13601-811C-B94B-8DA7-8AF9EA4B9E56
A89868,PTM547,Bossiella,manzae,"Low tidepool, exposed point",Patrick T. Martone and Katy R. Hind,F56BFCF2-0FC2-DA40-B1C8-0E2523B168A6
A89869,PTM548,Chiharaea,silvae,"Low, under Alaria sp.",Katy R. Hind,59114075-AB5C-034E-B884-63C1EF064937
A89870,PTM549,Bossiella,frondifera,"Low, exposed point",Patrick T. Martone and Katy R. Hind,5FBA68A3-BF07-E84F-B014-F16ECFF0CE74
A89871,PTM550,Bossiella,frondifera,"Low intertidal, exposed point",Patrick T. Martone and Katy R. Hind,5FA14558-921E-5B4C-84FD-EAE3BD0477AB
A89872,PTM551,Bossiella,frondescens,"High intertidal, exposed point",Katy R. Hind,C54D4417-5007-8043-A5ED-A7F04DAE7430
A89873,PTM552,Bossiella,sp.,"Low tidepool, exposed point",Patrick T. Martone and Katy R. Hind,9A73DAF1-5475-164B-8873-7AA2CBE67ACB
A89874,PTM553,Bossiella,hakaiensis,"Mid tidepool, exposed",Patrick T. Martone and Katy R. Hind,A0949436-0DAC-C046-B996-D259C69A3A9F
A89875,PTM554,Chiharaea,silvae,"Mid tidepool, exposed",Katy R. Hind,1797247C-2C83-F34A-9A67-651200376298
A89876,PTM555,Bossiella,sp.,"Low intertidal, exposed point",Patrick T. Martone and Katy R. Hind,7D8CFC26-D4E7-3B4C-9969-53D926C1FED3
A89877,PTM556,Johansenia,macmillanii,"Low intertidal on wall, exposed point",Katy R. Hind,FD58837F-BDA9-2F4E-90C3-5FBA4CE7B837
A89878,PTM557,Bossiella,manzae,"Mid intertidal, exposed point",Patrick T. Martone and Katy R. Hind,0D384D95-1C59-6641-9AB9-AFC8B0C10DFF
A89879,PTM558,Pseudolithophyllum,sp.,"Low intertidal, exposed point",Patrick T. Martone and Katy R. Hind,CA91A8D7-C090-B84D-BF34-A65212F56154
A89880,PTM559,Bossiella,dichotoma,"Low intertidal, in sand, exposed point",Katy R. Hind,610164D5-C69D-A647-BE05-3E426F685D05
A89881,PTM560,Bossiella,frondifera,Low intertidal,Patrick T. Martone and Katy R. Hind,5CE15F54-0893-524E-BC3A-DE4E5928CF53
A89882,PTM561,Bossiella,sp.,"Low intertidal, exposed point",Patrick T. Martone and Katy R. Hind,D5BE564B-5F78-CC46-AD39-E4F78775C469
A89883,PTM562,Bossiella,reptans,"Low intertidal, exposed point",Patrick T. Martone and Katy R. Hind,AE2CCB85-0ACB-A14E-B323-21FB5824E658
A89884,PTM563,Lithophyllum,sp.,"Low intertidal, exposed point",Katy R. Hind,2E921031-9863-E544-9D2C-8171245A08B7
A89885,PTM564,Bossiella,manzae,"Low intertidal, on rock wall, exposed point",Patrick T. Martone and Katy R. Hind,303E107F-4CA6-C744-8DBC-B6E6A99219E3
A89886,PTM565,Bossiella,dichotoma,"Low intertidal, exposed point",Katy R. Hind,1CB4C9C7-9D95-7E4C-8FB5-B5430409E68C
